model_key,condition_key,condition_bucket,corruption_family,severity_values,primary_severity,languages,language_count,judges_seen,n,accuracy,macro_f1,weighted_f1,avg_judge_overall,avg_political_bias,avg_sociocultural_bias,avg_linguistic_bias,avg_logic_of_reasoning,avg_evidence_usage
meta-llama/llama-3.1-8b-instruct,gold,gold,gold,[0.0],0.0,"de, ro",2,deepseek/deepseek-r1,2,0.0,0.0,0.0,25.0,5.0,5.0,5.0,5.0,5.0
meta-llama/llama-3.1-8b-instruct,targeted_drop_30,corrupted,targeted,[0.3],0.3,"de, ro",2,deepseek/deepseek-r1,2,0.0,0.0,0.0,25.0,5.0,5.0,5.0,5.0,5.0
meta-llama/llama-3.1-8b-instruct,random_drop_30,corrupted,random,[0.3],0.3,"de, ro",2,deepseek/deepseek-r1,2,0.0,0.0,0.0,21.0,5.0,5.0,5.0,3.0,3.0
meta-llama/llama-3.1-8b-instruct,replacement_mix_30,corrupted,replace,[0.3],0.3,"de, ro",2,deepseek/deepseek-r1,2,0.0,0.0,0.0,21.0,5.0,5.0,5.0,3.0,3.0
meta-llama/llama-3.1-8b-instruct,misleading_edit_30,corrupted,other,[0.3],0.3,"de, ro",2,deepseek/deepseek-r1,2,0.0,0.0,0.0,24.5,5.0,5.0,5.0,4.5,5.0
