model_key,condition_key,condition_bucket,corruption_family,severity_values,primary_severity,languages,language_count,judges_seen,n,accuracy,macro_f1,weighted_f1,avg_judge_overall,avg_political_bias,avg_sociocultural_bias,avg_linguistic_bias,avg_logic_of_reasoning,avg_evidence_usage
meta-llama/llama-3.1-8b-instruct,gold,gold,gold,[0.0],0.0,"de, el, en, ro, ro_mt_en",5,deepseek/deepseek-r1,7,0.0,0.0,0.0,21.428571428571427,4.428571428571429,4.428571428571429,4.571428571428571,4.0,4.0
meta-llama/llama-3.1-8b-instruct,targeted_drop_30,corrupted,targeted,[0.3],0.3,"de, el, en, ro, ro_mt_en",5,deepseek/deepseek-r1,7,0.0,0.0,0.0,21.714285714285715,5.0,4.571428571428571,5.0,3.5714285714285716,3.5714285714285716
meta-llama/llama-3.1-8b-instruct,random_drop_30,corrupted,random,[0.3],0.3,"de, el, en, ro, ro_mt_en",5,deepseek/deepseek-r1,7,0.14285714285714285,0.07142857142857144,0.20408163265306126,22.0,4.428571428571429,4.428571428571429,4.571428571428571,4.142857142857143,4.428571428571429
meta-llama/llama-3.1-8b-instruct,replacement_mix_30,corrupted,replace,[0.3],0.3,"de, el, en, ro, ro_mt_en",5,deepseek/deepseek-r1,7,0.14285714285714285,0.08333333333333334,0.23809523809523814,22.142857142857142,4.714285714285714,4.571428571428571,5.0,3.857142857142857,4.0
meta-llama/llama-3.1-8b-instruct,misleading_edit_30,corrupted,other,[0.3],0.3,"de, el, en, ro, ro_mt_en",5,deepseek/deepseek-r1,7,0.0,0.0,0.0,22.571428571428573,4.571428571428571,4.571428571428571,4.857142857142857,4.285714285714286,4.285714285714286
